iter	Passed	Remaining
305	776	1760
306	778	1757
307	780	1753
308	782	1749
309	784	1746
310	786	1742
311	788	1739
312	791	1736
313	793	1732
314	795	1729
315	797	1726
316	800	1723
317	802	1720
318	804	1717
319	806	1714
320	808	1711
321	811	1707
322	813	1704
323	815	1701
324	817	1697
325	819	1694
326	821	1691
327	824	1689
328	826	1686
329	829	1683
330	831	1681
331	834	1679
332	836	1676
333	839	1673
334	841	1670
335	843	1666
336	845	1663
337	847	1659
338	849	1655
339	851	1651
340	853	1648
341	855	1645
342	857	1642
343	859	1638
344	861	1634
345	863	1631
346	864	1627
347	866	1623
348	868	1619
349	870	1616
350	873	1614
351	875	1611
352	877	1608
353	879	1605
354	881	1601
355	883	1598
356	886	1596
357	888	1593
358	891	1591
359	893	1588
360	895	1585
361	897	1582
362	899	1578
363	901	1575
364	904	1573
365	906	1569
366	908	1566
367	910	1564
368	912	1560
369	914	1557
370	916	1554
371	919	1551
372	920	1548
373	923	1545
374	925	1541
375	927	1539
376	929	1535
377	931	1532
378	933	1529
379	935	1527
380	938	1524
381	940	1521
382	943	1519
383	945	1516
384	947	1513
385	949	1510
386	951	1507
387	953	1504
388	955	1501
389	957	1497
390	959	1494
391	961	1490
392	962	1487
393	964	1483
394	966	1480
395	968	1477
396	972	1476
397	974	1473
398	975	1469
399	977	1466
400	979	1463
401	981	1460
402	983	1457
403	986	1455
404	988	1451
405	990	1449
406	993	1447
407	995	1444
408	998	1442
409	1000	1439
410	1002	1436
411	1005	1435
412	1007	1431
413	1009	1428
414	1012	1426
415	1014	1423
416	1018	1423
417	1020	1421
418	1024	1420
419	1027	1418
420	1030	1416
421	1032	1414
422	1035	1412
423	1038	1410
424	1040	1408
425	1044	1407
426	1047	1406
427	1049	1402
428	1051	1400
429	1054	1397
430	1056	1394
431	1059	1393
432	1061	1390
433	1063	1387
434	1066	1385
435	1068	1381
436	1070	1378
437	1072	1376
438	1074	1373
439	1076	1370
440	1079	1367
441	1080	1364
442	1082	1361
443	1085	1359
444	1087	1356
445	1089	1353
446	1091	1350
447	1093	1347
448	1095	1344
449	1097	1341
450	1099	1338
451	1101	1335
452	1103	1332
453	1105	1329
454	1107	1326
455	1109	1323
456	1111	1320
457	1113	1317
458	1115	1314
459	1117	1312
460	1120	1309
461	1122	1306
462	1124	1304
463	1126	1301
464	1128	1298
465	1131	1296
466	1133	1293
467	1136	1292
468	1139	1289
469	1140	1286
470	1143	1283
471	1145	1281
472	1148	1279
473	1150	1276
474	1152	1274
475	1155	1271
476	1157	1268
477	1159	1266
478	1161	1263
479	1164	1261
480	1166	1259
481	1168	1256
482	1171	1253
483	1172	1250
484	1175	1248
485	1178	1246
486	1180	1243
487	1182	1240
488	1184	1237
489	1186	1234
490	1188	1232
491	1191	1229
492	1193	1227
493	1195	1224
494	1197	1221
495	1199	1218
496	1201	1216
497	1203	1213
498	1205	1210
499	1208	1208
500	1211	1206
501	1214	1204
502	1217	1202
503	1219	1199
504	1221	1197
505	1224	1195
506	1226	1192
507	1229	1190
508	1231	1188
509	1233	1185
510	1235	1182
511	1237	1179
512	1239	1176
513	1241	1174
514	1243	1171
515	1245	1168
516	1247	1165
517	1249	1162
518	1251	1160
519	1253	1157
520	1255	1154
521	1257	1151
522	1259	1148
523	1261	1146
524	1264	1143
525	1266	1141
526	1268	1138
527	1270	1135
528	1272	1133
529	1274	1130
530	1276	1127
531	1278	1124
532	1280	1121
533	1282	1119
534	1284	1116
535	1286	1113
536	1288	1111
537	1290	1108
538	1292	1105
539	1294	1102
540	1296	1099
541	1297	1096
542	1299	1093
543	1301	1090
544	1303	1088
545	1305	1085
546	1306	1082
547	1308	1079
548	1310	1076
549	1313	1074
550	1315	1071
551	1317	1069
552	1319	1066
553	1321	1064
554	1323	1061
555	1326	1059
556	1328	1056
557	1330	1054
558	1333	1051
559	1335	1049
560	1337	1046
561	1339	1044
562	1342	1041
563	1344	1039
564	1346	1036
565	1348	1034
566	1350	1031
567	1352	1029
568	1354	1026
569	1356	1023
570	1358	1020
571	1360	1017
572	1362	1015
573	1364	1012
574	1366	1009
575	1368	1007
576	1370	1004
577	1372	1002
578	1375	999
579	1377	997
580	1379	995
581	1382	992
582	1384	990
583	1386	987
584	1388	985
585	1390	982
586	1393	980
587	1395	977
588	1397	975
589	1400	972
590	1402	970
591	1404	967
592	1406	965
593	1408	962
594	1411	960
595	1413	957
596	1415	955
597	1417	952
598	1419	950
599	1421	947
600	1423	945
601	1425	942
602	1428	940
603	1430	937
604	1432	935
605	1434	932
606	1436	930
607	1438	927
608	1441	925
609	1443	922
610	1445	920
611	1447	917
612	1449	914
613	1451	912
614	1453	910
615	1456	907
616	1458	905
617	1459	902
618	1462	899
619	1464	897
620	1466	894
621	1468	892
622	1470	889
623	1473	887
624	1475	885
625	1477	882
626	1479	880
627	1481	877
628	1483	875
629	1485	872
630	1488	870
631	1490	867
632	1492	865
633	1494	863
634	1496	860
635	1498	857
636	1500	855
637	1503	852
638	1505	850
639	1507	847
640	1509	845
641	1511	842
642	1513	840
643	1515	837
644	1517	835
645	1519	832
646	1522	830
647	1524	828
648	1526	825
649	1528	822
650	1530	820
651	1532	817
652	1534	815
653	1536	813
654	1539	810
655	1541	808
656	1543	805
657	1545	803
658	1548	801
659	1550	798
660	1552	795
661	1554	793
662	1557	791
663	1560	789
664	1563	787
665	1566	785
666	1570	783
667	1573	781
668	1576	780
669	1579	777
670	1582	775
671	1585	773
672	1588	772
673	1592	770
674	1594	767
675	1598	766
676	1602	764
677	1606	762
678	1609	760
679	1613	759
680	1616	757
681	1619	755
682	1623	753
683	1626	751
684	1629	749
685	1632	747
686	1636	745
687	1639	743
688	1642	741
689	1645	739
690	1649	737
691	1653	735
692	1659	735
693	1662	733
694	1666	731
695	1672	730
696	1676	728
697	1679	726
698	1683	724
699	1687	723
700	1691	721
701	1695	719
702	1699	718
703	1703	716
704	1706	714
705	1712	713
706	1715	711
707	1760	726
708	1771	727
709	1775	725
710	1787	726
711	1790	724
712	1793	722
713	1797	719
714	1801	718
715	1808	717
716	1811	715
717	1814	712
718	1817	710
719	1821	708
720	1826	706
721	1830	704
722	1833	702
723	1836	700
724	1840	698
725	1843	695
726	1846	693
727	1850	691
728	1853	689
729	1858	687
730	1861	685
731	1864	682
732	1868	680
733	1870	678
734	1873	675
735	1876	673
736	1879	670
737	1881	668
738	1884	665
739	1887	663
740	1890	660
741	1893	658
742	1896	655
743	1898	653
744	1902	651
745	1904	648
746	1907	645
747	1909	643
748	1912	640
749	1914	638
750	1917	635
751	1920	633
752	1923	631
753	1926	628
754	1929	626
755	1933	623
756	1936	621
757	1938	618
758	1941	616
759	1944	614
760	1947	611
761	1950	609
762	1953	606
763	1955	604
764	1958	601
765	1960	599
766	1963	596
767	1966	593
768	1969	591
769	1971	588
770	1973	586
771	1976	583
772	1978	581
773	1981	578
774	1984	576
775	1987	573
776	1990	571
777	1993	568
778	1996	566
779	1999	563
780	2002	561
781	2005	559
782	2008	556
783	2011	554
784	2015	551
785	2017	549
786	2035	550
787	2038	548
788	2041	545
789	2044	543
790	2047	540
791	2050	538
792	2053	536
793	2056	533
794	2059	531
795	2063	528
796	2066	526
797	2068	523
798	2071	521
799	2074	518
800	2077	516
801	2079	513
802	2082	510
803	2085	508
804	2087	505
805	2090	503
806	2093	500
807	2097	498
808	2099	495
809	2102	493
810	2105	490
811	2108	488
812	2114	486
813	2116	483
814	2119	481
815	2123	478
816	2126	476
817	2130	473
818	2133	471
819	2136	469
820	2140	466
821	2144	464
822	2147	461
823	2150	459
824	2152	456
825	2157	454
826	2160	451
827	2163	449
828	2169	447
829	2173	445
830	2176	442
831	2179	440
832	2183	437
833	2188	435
834	2191	433
835	2194	430
836	2196	427
837	2199	425
838	2202	422
839	2205	420
840	2207	417
841	2210	414
842	2212	412
843	2216	409
844	2218	406
845	2220	404
846	2223	401
847	2225	398
848	2228	396
849	2232	393
850	2235	391
851	2237	388
852	2240	386
853	2242	383
854	2244	380
855	2246	377
856	2249	375
857	2251	372
858	2253	369
859	2255	367
860	2257	364
861	2259	361
862	2261	359
863	2264	356
864	2266	353
865	2268	350
866	2270	348
867	2272	345
868	2274	342
869	2276	340
870	2278	337
871	2281	334
872	2283	332
873	2285	329
874	2287	326
875	2289	324
876	2291	321
877	2293	318
878	2295	316
879	2297	313
880	2299	310
881	2302	308
882	2304	305
883	2307	302
884	2309	300
885	2311	297
886	2313	294
887	2316	292
888	2318	289
889	2320	286
890	2323	284
891	2325	281
892	2327	278
893	2330	276
894	2332	273
895	2334	271
896	2337	268
897	2339	265
898	2341	263
899	2344	260
900	2346	257
901	2348	255
902	2350	252
903	2353	249
904	2355	247
905	2357	244
906	2359	241
907	2362	239
908	2364	236
909	2367	234
910	2369	231
911	2371	228
912	2373	226
913	2375	223
914	2377	220
915	2379	218
916	2381	215
917	2383	212
918	2385	210
919	2387	207
920	2389	204
921	2391	202
922	2393	199
923	2395	197
924	2397	194
925	2399	191
926	2401	189
927	2404	186
928	2406	183
929	2408	181
930	2410	178
931	2413	176
932	2415	173
933	2417	170
934	2420	168
935	2422	165
936	2424	162
937	2426	160
938	2428	157
939	2431	155
940	2433	152
941	2435	149
942	2437	147
943	2439	144
944	2442	142
945	2444	139
946	2446	136
947	2448	134
948	2451	131
949	2453	129
950	2455	126
951	2457	123
952	2460	121
953	2462	118
954	2464	116
955	2466	113
956	2468	110
957	2470	108
958	2472	105
959	2475	103
960	2477	100
961	2479	97
962	2482	95
963	2484	92
964	2486	90
965	2488	87
966	2491	85
967	2493	82
968	2496	79
969	2498	77
970	2500	74
971	2502	72
972	2505	69
973	2507	66
974	2509	64
975	2511	61
976	2513	59
977	2516	56
978	2518	54
979	2521	51
980	2523	48
981	2526	46
982	2528	43
983	2531	41
984	2534	38
985	2536	36
986	2538	33
987	2540	30
988	2544	28
989	2549	25
990	2552	23
991	2556	20
992	2561	18
993	2566	15
994	2569	12
995	2573	10
996	2577	7
997	2580	5
998	2583	2
999	2586	0
