iter	Passed	Remaining
418	2458	3409
419	2464	3403
420	2469	3396
421	2475	3390
422	2480	3383
423	2486	3377
424	2491	3371
425	2497	3365
426	2503	3358
427	2509	3353
428	2514	3347
429	2520	3341
430	2526	3335
431	2532	3329
432	2537	3323
433	2543	3316
434	2548	3310
435	2554	3304
436	2560	3298
437	2566	3292
438	2571	3286
439	2577	3280
440	2583	3274
441	2588	3268
442	2594	3261
443	2599	3255
444	2605	3249
445	2611	3244
446	2617	3238
447	2622	3231
448	2628	3225
449	2634	3219
450	2640	3213
451	2645	3207
452	2651	3201
453	2656	3195
454	2662	3188
455	2667	3182
456	2673	3176
457	2679	3170
458	2684	3164
459	2689	3157
460	2695	3151
461	2701	3145
462	2706	3139
463	2711	3132
464	2717	3126
465	2722	3120
466	2728	3113
467	2733	3107
468	2739	3101
469	2744	3095
470	2750	3089
471	2755	3082
472	2760	3076
473	2766	3069
474	2771	3063
475	2776	3056
476	2781	3050
477	2787	3043
478	2792	3037
479	2798	3031
480	2803	3024
481	2809	3019
482	2814	3012
483	2819	3006
484	2825	2999
485	2830	2993
486	2836	2987
487	2841	2981
488	2847	2975
489	2852	2969
490	2858	2963
491	2863	2957
492	2869	2951
493	2875	2944
494	2881	2939
495	2886	2933
496	2893	2928
497	2898	2922
498	2904	2916
499	2910	2910
500	2915	2904
501	2922	2899
502	2928	2893
503	2935	2888
504	2941	2883
505	2948	2878
506	2955	2873
507	2961	2868
508	2967	2862
509	2974	2857
510	2979	2851
511	2986	2846
512	2993	2841
513	3000	2836
514	3007	2832
515	3013	2826
516	3019	2820
517	3025	2815
518	3032	2810
519	3039	2805
520	3046	2800
521	3053	2796
522	3061	2791
523	3068	2786
524	3074	2781
525	3082	2777
526	3090	2773
527	3096	2768
528	3103	2763
529	3110	2758
530	3117	2753
531	3124	2748
532	3130	2742
533	3136	2737
534	3143	2731
535	3149	2726
536	3155	2720
537	3161	2714
538	3167	2709
539	3173	2703
540	3179	2697
541	3185	2691
542	3192	2686
543	3197	2680
544	3203	2674
545	3207	2667
546	3214	2661
547	3219	2655
548	3225	2649
549	3231	2643
550	3236	2637
551	3243	2632
552	3248	2625
553	3254	2619
554	3260	2614
555	3266	2608
556	3272	2602
557	3277	2596
558	3283	2590
559	3287	2583
560	3293	2577
561	3299	2571
562	3305	2565
563	3311	2560
564	3317	2553
565	3320	2546
566	3326	2540
567	3332	2534
568	3339	2529
569	3345	2523
570	3349	2516
571	3355	2510
572	3359	2503
573	3365	2497
574	3371	2492
575	3377	2486
576	3382	2479
577	3387	2473
578	3392	2466
579	3398	2460
580	3403	2454
581	3410	2449
582	3415	2442
583	3420	2436
584	3425	2430
585	3431	2424
586	3437	2418
587	3442	2411
588	3448	2406
589	3453	2399
590	3458	2393
591	3461	2385
592	3467	2379
593	3472	2373
594	3478	2367
595	3485	2362
596	3492	2357
597	3497	2351
598	3504	2345
599	3510	2340
600	3517	2335
601	3522	2328
602	3527	2322
603	3532	2315
604	3538	2310
605	3544	2304
606	3550	2298
607	3554	2291
608	3559	2285
609	3563	2278
610	3569	2272
611	3573	2265
612	3579	2259
613	3587	2255
614	3593	2249
615	3601	2244
616	3610	2241
617	3618	2236
618	3626	2232
619	3630	2225
620	3636	2219
621	3643	2214
622	3649	2208
623	3653	2201
624	3659	2195
625	3664	2189
626	3671	2183
627	3677	2178
628	3683	2172
629	3691	2168
630	3697	2162
631	3703	2156
632	3707	2149
633	3712	2143
634	3716	2136
635	3721	2130
636	3726	2123
637	3731	2117
638	3738	2112
639	3745	2107
640	3751	2101
641	3757	2095
642	3763	2089
643	3770	2084
644	3777	2078
645	3782	2072
646	3788	2067
647	3796	2062
648	3803	2057
649	3810	2051
650	3816	2046
651	3823	2040
652	3829	2035
653	3837	2030
654	3843	2024
655	3851	2019
656	3859	2014
657	3866	2009
658	3873	2004
659	3879	1998
660	3885	1992
661	3891	1986
662	3899	1982
663	3905	1976
664	3913	1971
665	3920	1966
666	3927	1961
667	3936	1956
668	3946	1952
669	3954	1947
670	3960	1941
671	3968	1937
672	3978	1932
673	3987	1928
674	3995	1923
675	4001	1918
676	4011	1913
677	4020	1909
678	4029	1904
679	4037	1900
680	4042	1893
681	4050	1888
682	4055	1882
683	4063	1877
684	4069	1871
685	4075	1865
686	4083	1860
687	4093	1856
688	4107	1853
689	4111	1847
690	4119	1842
691	4126	1836
692	4133	1831
693	4139	1825
694	4147	1819
695	4151	1813
696	4157	1807
697	4164	1801
698	4171	1796
699	4178	1790
700	4184	1784
701	4188	1777
702	4195	1772
703	4202	1767
704	4209	1761
705	4215	1755
706	4221	1749
707	4228	1743
708	4233	1737
709	4241	1732
710	4247	1726
711	4253	1720
712	4257	1713
713	4265	1708
714	4272	1703
715	4278	1697
716	4285	1691
717	4291	1685
718	4298	1679
719	4304	1673
720	4311	1668
721	4318	1662
722	4323	1656
723	4330	1650
724	4335	1644
725	4341	1638
726	4347	1632
727	4352	1626
728	4358	1620
729	4365	1614
730	4371	1608
731	4378	1603
732	4384	1596
733	4390	1591
734	4397	1585
735	4403	1579
736	4410	1573
737	4416	1567
738	4423	1562
739	4430	1556
740	4438	1551
741	4445	1545
742	4451	1539
743	4458	1534
744	4465	1528
745	4472	1522
746	4478	1516
747	4484	1510
748	4489	1504
749	4494	1498
750	4499	1491
751	4506	1486
752	4512	1480
753	4519	1474
754	4524	1468
755	4529	1461
756	4534	1455
757	4540	1449
758	4545	1443
759	4551	1437
760	4556	1430
761	4562	1424
762	4567	1418
763	4573	1412
764	4579	1406
765	4585	1400
766	4589	1394
767	4595	1388
768	4603	1382
769	4607	1376
770	4613	1370
771	4617	1363
772	4622	1357
773	4628	1351
774	4633	1345
775	4643	1340
776	4651	1334
777	4657	1329
778	4662	1322
779	4666	1316
780	4671	1309
781	4676	1303
782	4682	1297
783	4687	1291
784	4692	1285
785	4697	1278
786	4703	1272
787	4707	1266
788	4713	1260
789	4719	1254
790	4725	1248
791	4731	1242
792	4735	1236
793	4741	1230
794	4746	1223
795	4750	1217
796	4754	1211
797	4759	1204
798	4815	1211
799	4818	1204
800	4825	1198
801	4831	1192
802	4845	1188
803	4851	1182
804	4857	1176
805	4862	1170
806	4868	1164
807	4873	1157
808	4879	1152
809	4886	1146
810	4893	1140
811	4899	1134
812	4904	1128
813	4911	1122
814	4918	1116
815	4924	1110
816	4931	1104
817	4938	1098
818	4945	1093
819	4952	1087
820	4960	1081
821	4967	1075
822	4973	1069
823	4980	1063
824	4988	1058
825	4994	1052
826	5001	1046
827	5008	1040
828	5013	1034
829	5019	1028
830	5025	1022
831	5029	1015
832	5036	1009
833	5043	1003
834	5049	997
835	5055	991
836	5062	985
837	5067	979
838	5074	973
839	5080	967
840	5085	961
841	5091	955
842	5096	949
843	5101	942
844	5107	936
845	5113	930
846	5118	924
847	5125	918
848	5131	912
849	5137	906
850	5142	900
851	5147	894
852	5153	888
853	5158	881
854	5164	875
855	5170	869
856	5176	863
857	5181	857
858	5188	851
859	5193	845
860	5200	839
861	5205	833
862	5212	827
863	5217	821
864	5222	815
865	5228	809
866	5234	803
867	5241	797
868	5247	791
869	5255	785
870	5262	779
871	5269	773
872	5274	767
873	5280	761
874	5288	755
875	5294	749
876	5301	743
877	5307	737
878	5312	731
879	5317	725
880	5322	718
881	5328	712
882	5333	706
883	5339	700
884	5345	694
885	5351	688
886	5358	682
887	5364	676
888	5370	670
889	5377	664
890	5383	658
891	5389	652
892	5395	646
893	5401	640
894	5407	634
895	5414	628
896	5420	622
897	5426	616
898	5432	610
899	5438	604
900	5444	598
901	5451	592
902	5458	586
903	5463	580
904	5470	574
905	5476	568
906	5482	562
