iter	RMSE
547	100665.7059
548	100560.997
549	100504.9434
550	100483.1547
551	100454.3545
552	100435.6638
553	100189.6174
554	100144.4529
555	99884.70631
556	99667.45662
557	99612.89128
558	99595.69955
559	99297.6112
560	99277.9638
561	99038.49866
562	99018.98
563	98776.81482
564	98481.73051
565	98242.32019
566	98220.83569
567	98026.36127
568	98007.17235
569	97987.80863
570	97866.34496
571	97773.09579
572	97757.21026
573	97739.8568
574	97687.70814
575	97633.84733
576	97225.65575
577	97208.43693
578	96994.40064
579	96764.61271
580	96600.39387
581	96419.3554
582	96220.76925
583	96202.52343
584	96188.57807
585	96164.70804
586	95812.76904
587	95795.90446
588	95534.74588
589	95199.82492
590	95151.43959
591	95133.19064
592	95085.26931
593	95070.52801
594	94990.88546
595	94892.45446
596	94841.69942
597	94777.28675
598	94731.35045
599	94713.67196
600	94699.07787
601	94509.66501
602	94438.66655
603	94105.48293
604	93938.61462
605	93922.29444
606	93707.44851
607	93690.4229
608	93641.17614
609	93620.6442
610	93590.06475
611	93424.8021
612	93409.2443
613	93394.20568
614	93376.19437
615	93357.04535
616	93339.13469
617	93242.23886
618	93217.71824
619	92980.2502
620	92953.03002
621	92644.83791
622	92398.60326
623	92195.8543
624	92174.29835
625	92162.3004
626	92144.04723
627	92128.50148
628	92117.11181
629	91988.22523
630	91720.4644
631	91704.65378
632	91432.8286
633	91261.71203
634	91148.38299
635	91131.25681
636	91114.86705
637	91100.49514
638	91007.14119
639	90991.11808
640	90971.66984
641	90956.28517
642	90775.15679
643	90737.63905
644	90724.63869
645	90713.82659
646	90545.5783
647	90467.11731
648	90147.1994
649	90083.72374
650	89876.90427
651	89554.04933
652	89538.70315
653	89525.01662
654	89511.70408
655	89397.90522
656	89385.8476
657	89006.6815
658	88994.11081
659	88950.27506
660	88931.15204
661	88909.20283
662	88879.30301
663	88849.21443
664	88834.79083
665	88794.83377
666	88579.61243
667	88399.44219
668	88255.22265
669	87969.48223
670	87879.32828
671	87847.50093
672	87667.57091
673	87654.4349
674	87640.03143
675	87566.04883
676	87527.63467
677	87515.94938
678	87236.96025
679	87063.23277
680	87049.65426
681	87039.47253
682	87010.27991
683	86940.15493
684	86927.12616
685	86918.18183
686	86906.48085
687	86692.91337
688	86679.02624
689	86665.20252
690	86651.0606
691	86631.40137
692	86618.85117
693	86439.69817
694	86250.54969
695	86210.25442
696	86198.40353
697	86188.65973
698	86146.90549
699	86108.71553
700	86020.44249
701	86009.62425
702	85992.801
703	85971.20011
704	85885.53934
705	85865.13022
706	85855.0536
707	85661.34569
708	85646.32689
709	85630.97176
710	85620.51462
711	85559.00217
712	85422.90743
713	85404.10672
714	85360.9301
715	85345.05098
716	85335.08285
717	85297.43267
718	85284.6758
719	85253.04175
720	85238.7903
721	85212.65488
722	85202.66721
723	85021.88596
724	85011.31345
725	84996.35169
726	84983.9197
727	84691.58845
728	84679.4577
729	84554.38265
730	84544.11852
731	84531.06613
732	84236.9514
733	84222.73574
734	84105.64773
735	84091.45403
736	84078.23057
737	84032.17184
738	84015.62839
739	84004.1677
740	83992.16242
741	83981.08052
742	83971.40033
743	83963.88621
744	83830.42498
745	83779.84287
746	83765.30765
747	83755.93468
748	83745.30965
749	83586.04834
750	83540.64143
751	83513.05862
752	83483.7765
753	83472.50796
754	83158.81215
755	83147.57631
756	83013.58738
757	83002.91828
758	82944.14769
759	82697.60512
760	82673.43024
761	82506.70941
762	82349.32579
763	82284.81567
764	82226.91522
765	82198.59805
766	82187.99265
767	82174.43989
768	82161.51831
769	81994.55007
770	81977.30336
771	81963.77235
772	81953.01574
773	81944.70647
774	81931.90439
775	81921.38363
776	81913.56998
777	81894.43784
778	81882.50502
779	81871.22161
780	81859.09428
781	81847.29406
782	81549.03602
783	81538.116
784	81495.6312
785	81272.34171
786	81259.7958
787	81224.7008
